symbol,token,exchange
IOB,9348,NSE
SUZLON,12018,NSE
UCOBANK,11223,NSE
NHPC,17400,NSE
IDEA,14366,NSE
JPPOWER,11763,NSE
METALIETF,24861,NSE
PCJEWELLER,29124,NSE
GOLDCASE,22901,NSE
SILVERCASE,30274,NSE
YESBANK,11915,NSE
SOUTHBANK,5948,NSE
IRFC,2029,NSE
JAGRAN,13211,NSE
